user_id,user_pseudo,user_password,user_age,user_job
1,user_1,pass_1,21.0,Employé(e) à plein temps
2,user_2,pass_2,21.0,Sans emploi
3,user_3,pass_3,21.0,Etudiant(e)
4,user_4,pass_4,21.0,Sans emploi
5,user_5,pass_5,21.0,Employé(e) à plein temps
6,user_6,pass_6,29.5,Employé(e) à plein temps
7,user_7,pass_7,29.5,Employé(e) à plein temps
8,user_8,pass_8,21.0,Etudiant(e)
9,user_9,pass_9,29.5,Sans emploi
10,user_10,pass_10,21.0,Sans emploi
11,user_11,pass_11,21.0,Je préfère ne pas répondre
12,user_12,pass_12,21.0,Employé(e) à plein temps
13,user_13,pass_13,21.0,Etudiant(e)
14,user_14,pass_14,21.0,Employé(e) à plein temps
15,user_15,pass_15,21.0,Etudiant(e) en alternance
16,user_16,pass_16,21.0,Etudiant(e)
17,user_17,pass_17,21.0,Etudiant(e)
18,user_18,pass_18,21.0,Etudiant(e)
19,user_19,pass_19,21.0,Employé(e) à plein temps
20,user_20,pass_20,21.0,Etudiant(e) en alternance
21,user_21,pass_21,21.0,Etudiant(e)
22,user_22,pass_22,21.0,Je préfère ne pas répondre
23,user_23,pass_23,29.5,Employé(e) à plein temps
24,user_24,pass_24,21.0,Employé(e) à plein temps
25,user_25,pass_25,21.0,Etudiant(e)
26,user_26,pass_26,21.0,Sans emploi
27,user_27,pass_27,21.0,Employé(e) à mi-temps
28,user_28,pass_28,21.0,Employé(e) à plein temps
29,user_29,pass_29,21.0,Etudiant(e) en alternance
30,user_30,pass_30,21.0,Etudiant(e)
31,user_31,pass_31,21.0,Employé(e) à plein temps
32,user_32,pass_32,21.0,Etudiant(e)
33,user_33,pass_33,29.5,Employé(e) à mi-temps
34,user_34,pass_34,21.0,Etudiant(e) en alternance
35,user_35,pass_35,29.5,Etudiant(e) en alternance
36,user_36,pass_36,29.5,Employé(e) à plein temps
37,user_37,pass_37,39.5,Employé(e) à plein temps
38,user_38,pass_38,52.0,Employé(e) à plein temps
39,user_39,pass_39,39.5,Employé(e) à plein temps
40,user_40,pass_40,21.0,Employé(e) à plein temps
41,user_41,pass_41,29.5,Employé(e) à plein temps
42,user_42,pass_42,21.0,Etudiant(e)
43,user_43,pass_43,21.0,Etudiant(e)
44,user_44,pass_44,39.5,Employé(e) à plein temps
45,user_45,pass_45,nan,Employé(e) à plein temps
46,user_46,pass_46,29.5,Employé(e) à plein temps
47,user_47,pass_47,52.0,Employé(e) à plein temps
48,user_48,pass_48,21.0,Employé(e) à plein temps
49,user_49,pass_49,52.0,Employé(e) à plein temps
50,user_50,pass_50,60.0,Employé(e) à mi-temps
51,user_51,pass_51,39.5,Employé(e) à plein temps
52,user_52,pass_52,39.5,Employé(e) à plein temps
53,user_53,pass_53,52.0,Employé(e) à plein temps
54,user_54,pass_54,39.5,Employé(e) à plein temps
55,user_55,pass_55,29.5,Employé(e) à plein temps
56,user_56,pass_56,29.5,Employé(e) à plein temps
57,user_57,pass_57,21.0,Etudiant(e)
58,user_58,pass_58,nan,nan
59,user_59,pass_59,21.0,Etudiant(e)
60,user_60,pass_60,29.5,Employé(e) à plein temps
61,user_61,pass_61,52.0,Employé(e) à plein temps
62,user_62,pass_62,29.5,Employé(e) à plein temps
63,user_63,pass_63,21.0,Employé(e) à plein temps
64,user_64,pass_64,21.0,Etudiant(e) en alternance
65,user_65,pass_65,60.0,Retraité(e)
66,user_66,pass_66,29.5,Employé(e) à plein temps
67,user_67,pass_67,60.0,Retraité(e)
68,user_68,pass_68,60.0,Retraité(e)
69,user_69,pass_69,29.5,Employé(e) à plein temps
70,user_70,pass_70,52.0,Employé(e) à plein temps
71,user_71,pass_71,39.5,Employé(e) à plein temps
72,user_72,pass_72,29.5,Employé(e) à plein temps
73,user_73,pass_73,52.0,Employé(e) à plein temps
74,user_74,pass_74,60.0,Retraité(e)
75,user_75,pass_75,15.0,Collégien(ne) / lycéen(ne)
76,user_76,pass_76,21.0,Etudiant(e)
77,user_77,pass_77,21.0,Etudiant(e)
78,user_78,pass_78,52.0,Expert judiciaire
80,user_80,pass_80,39.5,Travailleur indépendant
81,user_81,pass_81,52.0,Employé(e) à plein temps
82,user_82,pass_82,21.0,Etudiant(e)
83,user_83,pass_83,21.0,Etudiant(e)
84,user_84,pass_84,52.0,Employé(e) à mi-temps
85,user_85,pass_85,52.0,Employé(e) à plein temps
86,user_86,pass_86,39.5,Employé(e) à plein temps
87,user_87,pass_87,29.5,Employé(e) à plein temps
88,user_88,pass_88,29.5,Employé(e) à plein temps
89,user_89,pass_89,29.5,Employé(e) à plein temps
90,user_90,pass_90,29.5,Employé(e) à plein temps
91,user_91,pass_91,39.5,Employé(e) à plein temps
92,user_92,pass_92,21.0,Etudiant(e)
93,user_93,pass_93,39.5,Employé(e) à plein temps
94,user_94,pass_94,52.0,Employé(e) à plein temps
95,user_95,pass_95,29.5,Employé(e) à plein temps
96,user_96,pass_96,21.0,Employé(e) à plein temps
97,user_97,pass_97,52.0,Employé(e) à plein temps
98,user_98,pass_98,29.5,Employé(e) à plein temps
99,user_99,pass_99,nan,Employé(e) à plein temps
100,user_100,pass_100,52.0,Employé(e) à plein temps
101,user_101,pass_101,52.0,Employé(e) à plein temps
102,user_102,pass_102,39.5,Employé(e) à plein temps
103,user_103,pass_103,52.0,Employé(e) à plein temps
