id,name,email,email_verified_at,password,remember_token,created_at,updated_at,user_age,user_job,user_gender,user_plays_music,user_instruments,user_music_contexts,profile_id
1,User 1,user1@example.com,2026-03-11 10:21:07,$2b$12$YXoG8a3SdJjChgVbL1aGhO0/PuGtX/WWQHHHm/L1sqDq6MdnBEQ/6,,2026-03-11 10:21:07,2026-03-11 10:21:07,21.0,Employé(e) à plein temps,Homme,1.0,['Guitare / Basse / Banjo'],"['Travail / études', 'Trajet', 'Détente', 'Jeu vidéo']",1
2,User 2,user2@example.com,2026-03-11 10:21:07,$2b$12$hm4Y1MPzl9V0FjAsaR.AoeYJgp8CWWiKLvcS9CA6T0fxGrgwJwqIW,,2026-03-11 10:21:07,2026-03-11 10:21:07,21.0,Sans emploi,Homme,0.0,nan,"['Détente', 'Lecture / écriture', 'Jeu vidéo', 'Travail / études']",2
3,User 3,user3@example.com,2026-03-11 10:21:07,$2b$12$0xqqyp3f96Un85CmQB47De7n56dDDs2aSudn1wfB1ftgB1TAYyxu2,,2026-03-11 10:21:07,2026-03-11 10:21:07,21.0,Etudiant(e),Homme,1.0,['Piano / Orgues'],"['Sport', 'Travail / études', 'Détente']",3
4,User 4,user4@example.com,2026-03-11 10:21:07,$2b$12$isF7lYoOPutBvCNOt8HvoOsaImGkKl3dtA3RB7QO2sakrCaFMCGUe,,2026-03-11 10:21:07,2026-03-11 10:21:07,21.0,Sans emploi,Homme,0.0,nan,"['Trajet', 'Détente', 'Jeu vidéo', 'Soirée entre amis']",4
5,User 5,user5@example.com,2026-03-11 10:21:07,$2b$12$qkKK7bEmx92iAxQNA07CQ.5JAEaJor4Bosz2KUIPJke2qGMHnQj/e,,2026-03-11 10:21:07,2026-03-11 10:21:07,21.0,Employé(e) à plein temps,Homme,0.0,nan,"['Détente', 'Soirée entre amis', 'Jeu vidéo', 'Trajet']",5
6,User 6,user6@example.com,2026-03-11 10:21:07,$2b$12$oLLeUssArM2Pj.lOrCfyyuBz8LfxC85vS9KQ.UtgOr7UXJ.MvQCD6,,2026-03-11 10:21:07,2026-03-11 10:21:07,29.5,Employé(e) à plein temps,Femme,0.0,nan,"['Travail / études', 'Détente', 'Soirée entre amis', 'Jeu vidéo']",6
7,User 7,user7@example.com,2026-03-11 10:21:07,$2b$12$wFGyOR5i3MFfIse72XjM4eRgqpVmcwvuurP.R.E6P6L5uYBNbNjY2,,2026-03-11 10:21:07,2026-03-11 10:21:07,29.5,Employé(e) à plein temps,Femme,0.0,nan,"['Lecture / écriture', 'Trajet', 'Sport', 'Détente']",7
8,User 8,user8@example.com,2026-03-11 10:21:07,$2b$12$sComF75wCDC9B4mbNthLy.nWojedkQb6WRSM8qH4CRRPbqu.Sjr42,,2026-03-11 10:21:07,2026-03-11 10:21:07,21.0,Etudiant(e),Homme,0.0,nan,"['Sport', 'Trajet', 'Jeu vidéo', 'Détente']",8
9,User 9,user9@example.com,2026-03-11 10:21:07,$2b$12$P4oSiKG3OYnwLqzOWQKHqOqih21VzMPe5qCXwlsf0/KMqKnR7C7ze,,2026-03-11 10:21:07,2026-03-11 10:21:07,29.5,Sans emploi,Homme,0.0,nan,"['Sport', 'Trajet', 'Soirée entre amis', 'Détente']",9
10,User 10,user10@example.com,2026-03-11 10:21:07,$2b$12$8wGkQbw/tU.EzWH5wFKgDegKHhBB5rW5yGuEazQPa1ur1ZKrlGfYG,,2026-03-11 10:21:07,2026-03-11 10:21:07,21.0,Sans emploi,Homme,0.0,nan,"['Travail / études', 'Trajet', 'Détente', 'Jeu vidéo']",10
11,User 11,user11@example.com,2026-03-11 10:21:07,$2b$12$cHzUI6u9GLogzLJgcVNgku2ajNBS3GFhV9waZp.cH1oF2FQWnZBxO,,2026-03-11 10:21:07,2026-03-11 10:21:07,21.0,Je préfère ne pas répondre,Je préfère ne pas répondre,0.0,nan,"['Trajet', 'Détente', 'Lecture / écriture', 'Travail / études']",11
12,User 12,user12@example.com,2026-03-11 10:21:07,$2b$12$Bq1Ab8y3dlFNolVY2.2xT.edyg82euQgkPuGXqtyE3RUeFcSzrvjq,,2026-03-11 10:21:07,2026-03-11 10:21:07,21.0,Employé(e) à plein temps,Homme,1.0,['Piano / Orgues'],"['Travail / études', 'Sport', 'Trajet', 'Jeu vidéo']",12
13,User 13,user13@example.com,2026-03-11 10:21:07,$2b$12$.lyKEFF6R/HOiNnBpQ7OuuUZPvIJSoiRVz1Xf5rwXIOjxKLHQiIdO,,2026-03-11 10:21:07,2026-03-11 10:21:07,21.0,Etudiant(e),Homme,0.0,nan,"['Trajet', ""Pour m'endormir le soir, de sorte à stimuler mon imagination pour rêver ou bien pour m'endormir plus rapidement""]",13
14,User 14,user14@example.com,2026-03-11 10:21:07,$2b$12$VHa.tbxxxEj.K.d2bh/9IOfgni.NUNXXBGL2wdxJohSkMNLUqZbmC,,2026-03-11 10:21:07,2026-03-11 10:21:07,21.0,Employé(e) à plein temps,Homme,0.0,nan,"['Travail / études', 'Détente', 'Soirée entre amis', 'Jeu vidéo']",14
15,User 15,user15@example.com,2026-03-11 10:21:07,$2b$12$4gzkb4oMNKBFIak8qfEH7eNdpQnYxaVPgIpzNyG1TMFe43VqBF/L.,,2026-03-11 10:21:07,2026-03-11 10:21:07,21.0,Etudiant(e) en alternance,Homme,0.0,nan,"['Travail / études', 'Trajet', 'Jeu vidéo', 'Soirée entre amis']",15
16,User 16,user16@example.com,2026-03-11 10:21:07,$2b$12$bCaotJq7AocdPM10xJQLSuIhcvZ1b8L8/yRw2oShwfUT0i/d0JdZ6,,2026-03-11 10:21:07,2026-03-11 10:21:07,21.0,Etudiant(e),Homme,1.0,"['Guitare / Basse / Banjo', 'Piano / Orgues', 'Batterie / Djembé']","['Travail / études', 'Sport', 'Trajet', 'Soirée entre amis']",16
17,User 17,user17@example.com,2026-03-11 10:21:07,$2b$12$Q/4Z9hz57.Tnrtqgn8w6gOwCbi9ilToY2TAlQhiWsm/sXEayRvJ4.,,2026-03-11 10:21:07,2026-03-11 10:21:07,21.0,Etudiant(e),Homme,0.0,nan,"['Détente', 'Travail / études', 'Jeu vidéo']",17
18,User 18,user18@example.com,2026-03-11 10:21:07,$2b$12$X/diLcO1DW7o1xGy2sQv0O.OZkXO96iSbxK/2FUsxTSrC/Ty2BXOu,,2026-03-11 10:21:07,2026-03-11 10:21:07,21.0,Etudiant(e),Homme,0.0,nan,"['Travail / études', 'Trajet', 'Avant de dormir et pendant les tâches ménagères']",18
19,User 19,user19@example.com,2026-03-11 10:21:07,$2b$12$PJk4p/xprO3tiJiyaTts1u5H0U7ImAmin9Vux/EuMrz.ElMzPshUW,,2026-03-11 10:21:07,2026-03-11 10:21:07,21.0,Employé(e) à plein temps,Homme,0.0,nan,"['Trajet', 'Travail / études', 'Détente', ""Moment dédié à l'écoute de la musique""]",19
20,User 20,user20@example.com,2026-03-11 10:21:07,$2b$12$IRA3VY31E92YQVLKPc7XKe9AVg9TgQcQKKrdZ/7ZBAW8QTjscrPKG,,2026-03-11 10:21:07,2026-03-11 10:21:07,21.0,Etudiant(e) en alternance,Homme,0.0,nan,"['Travail / études', 'Trajet', 'Détente']",20
21,User 21,user21@example.com,2026-03-11 10:21:07,$2b$12$KsRIovObOPdcu1RM7E0EkeWMvBAiSVN42tCSyi.2lFk9Lnen/IeLK,,2026-03-11 10:21:07,2026-03-11 10:21:07,21.0,Etudiant(e),Homme,1.0,['Violon / Violoncelle'],"['Trajet', 'Détente']",21
22,User 22,user22@example.com,2026-03-11 10:21:07,$2b$12$EfgFzjZPyVI5qiamovJtDeHWoSP7y5CHmPg1a.N.lDx0z5SyCmqBO,,2026-03-11 10:21:07,2026-03-11 10:21:07,21.0,Je préfère ne pas répondre,Femme,0.0,nan,"['Jeu vidéo', 'Trajet', 'Travail / études', 'Détente']",22
23,User 23,user23@example.com,2026-03-11 10:21:07,$2b$12$Jr3LlxNB2VDDNr5R0rLJVemayCOwTy6zuMTOYNtCrzpSd8BU1lPfu,,2026-03-11 10:21:07,2026-03-11 10:21:07,29.5,Employé(e) à plein temps,Homme,0.0,nan,"['Travail / études', 'Soirée entre amis', 'Jeu vidéo', 'Trajet']",23
24,User 24,user24@example.com,2026-03-11 10:21:07,$2b$12$XgSed0juuuaiclZnzJu7ION0r1FLrjVKyG.BgVxhQnmSm.2Or3QfW,,2026-03-11 10:21:07,2026-03-11 10:21:07,21.0,Employé(e) à plein temps,Homme,0.0,nan,"['Travail / études', 'Trajet', 'Jeu vidéo']",24
25,User 25,user25@example.com,2026-03-11 10:21:07,$2b$12$1v3a6NTWnPwi4zjGmZr8BeEhicBsOmKXnMe4B7I0.Vngg92D.rniu,,2026-03-11 10:21:07,2026-03-11 10:21:07,21.0,Etudiant(e),Homme,0.0,nan,"['Travail / études', 'Sport', 'Détente', 'Trajet']",25
